,f1,diff_f1,sign_f1,acc,diff_acc,sign_acc,prec,diff_prec,sign_prec,rec,diff_rec,sign_rec
h0,67.76,,,69.0,,,69.94,,,67.96,,
h1,74.07,6.31,,74.1,5.1,,74.1,4.16,,74.22,6.26,
